clue,exp,len
15. Confused setter in embarrassing situation – very high winds (9)," JETSTREAM (SETTER*) in JAM 16. Oribi, e.g., fourth lost after good old soldiers ran it punishingly (8) GANTLOPE G+ANT(i)LOPE a punishment – see GAUNTLET2 ",155
"21. Information quite short, soon to be delivered in stables? (6)", IN-FOAL INFO+AL(l)+cryptic def. ,33
22. Not a word accepted by a beak in a hermitage (6), ASHRAM SH in A+RAM(beak of a ship etc.) ,41
23. Calm hush over misfortune (5), STILL ST(sush!)+ILL ,21
"25. In the past, a test when there were no women? (6)", PREEVE pun on PRE-EVE(before women) obsolete words(in the past) for proof and prove ,85
27. Driven wild about start of the bairns’ colic (5), BATTS T in BATS (see BOT1) ,28
1. Diane’s pet gets a viral disease (9)," DISTEMPER DI’S+TEMPER(a pet, huff) ",36
"6. Fibre’s extracted from wood, Greek character recollected (5)", OAKUM OAK+(MU<) ,17
9. Room in the Parisian grill (7), LATTICE ATTIC in LE(French ‘the’) ,35
10. Cavalryman in force (7)," DRAGOON dd dragoon also means to ‘compel by force’ (i.e. dragoon somebody into doing something) 11. Satisfy two opposing groups, as Scritti Politti do? (4,2,4,4) HAVE IT BOTH WAYS crikey! ‘IT’ appears in both ‘scritti‘ and ‘politti‘ both ways together! Both Nick and I researched the band at first looking for a song title ",324
13. Told about tardy duke (7), RELATED RE(about)+LATE+D(uke) ,31
14. Poker puzzle (7)," TICKLER dd a ‘tickler’ is a poker, apparently ",47
"16. Gathers in information about savings (4,3)", NEST EGG GETS in GEN all reversed(about) ,42
"18. Car that’s durable, something made for many a spin (7)", HARDTOP HARD+TOP(spinning toy) ,32
"20. Cured haddock in a fiery broth – “more?”, I ask (8,6)", ARBROATH SMOKIE A+(BROTH MORE I ASK)* 23. ‘Beer’ in concise dictionary in ‘local’ language? (7) DIALECT ALE in DICT(ionary) ,125
24. Difficult old emperor visiting America (7), ONEROUS O+NERO+US ,19
"25. In circulation, a humorous book (5)", NAHUM hidden: circulatioN A HUMorous this book HERE ,53
26. Regroups across main road in battle (9), RAMILLIES RALLIES(regroups) around M1 this battle HERE Down ,61
1. A herb may make daughter unwell (4), DILL D+ILL ,12
"2. Feel unwell after group’s left port (3,4)", SET SAIL AIL after SETS ,25
"3. Record in Crete, possibly a focal point (9)", EPICENTRE EP+(IN CRETE*) ,26
"4. Entertainer’s got it taped, Iris cracked – that’s about right (15)"," PRESTIDIGITATOR (GOT IT TAPED IRIS*) around R big word for a conjuror/magician 5. What jockeys do, with nasty sort amongst them, is manage to survive (4,3,3,5) RIDE OUT THE STORM RIDE OUT+((SORT*) in THEM) ",207
"6. Oscar leading wise men, mostly the first in historic NI town (5)", OMAGH O+MAG(i)(wise men)+H(istoric) ,37
"7. At present everyone supports king, wise guy (4-3)", KNOW-ALL NOW+ALL after K ,26
8. Master’s opening racist pun spoiled handwritten document (10), MANUSCRIPT M(aster’s)+(RACIST PUN*) ,37
"12. Group’s instrument of torture (4,6)", IRON MAIDEN dd The rock band Iron Maiden and this device ,58
15. NCO holding end of stethoscope in physical (9), CORPOREAL (stethoscop)E in CORPORAL(nco) ,42
17. Rest day? Graduates turned up near city on the Avon (7), SABBATH (BAS<)+BATH ,21
19. Capital excursion round the Italian retreats (7), TRIPOLI TRIP+O+(IL<)(Italian for ‘the’) Capital of Libya ,58
21. Poem starts to upset me in a concert hall (5), ODEUM ODE+U(pset) M(e) ,24
1. I’d better reverse my attitude to show aloofness (8), DISTANCE charade of <ID reversed + STANCE (= ‘attitude’) ,58
9 Romantic present (6)," TENDER double definition, first as an adjective, then a verb ",62
10 A trick not long enough to occupy a scamp (4)," SCAM hidden, fairly obviously, in SCAM(p) ",43
"11 Moneymaking professor, one with a plan (10)", PROFITABLE charade of PROF(essor) + I (= one) + PLAN (= ‘table’) ,66
12 How do you find a pen in this filthy mess? (6), PIGSTY slightly cryptic double definition: ‘pen’ in the sense of ‘animal enclosure and what our Mum used to say when saw the mess our room was in: “Clean up this pigsty!” ,172
14 Used to manoeuvre in the eastern Mediterranean (8), EMPLOYED insertion of PLOY (= manoeuvre) in E(astern) MED(iterranean) ,71
"15 Rotten top, so may be cheaper fare? (3-4)"," OFF PEAK cryptic definition, charade of OFF (= ‘rotten’) + TOP (= ‘peak’), to give the time when transport fares are often cheaper ",132
17 Loved to count trouble within (7)," ADMIRED charade of ADD (=’count’) around MIRE, ‘trouble’, as in the expression “to be in a mire” ",98
20 Mrs Pooter wants silver in this coach (8)," CARRIAGE insertion of AG (= ‘silver’ in the periodic table) in CARRIE, the wife of this fictional character: http://en.wikipedia.org/wiki/File:Charles_and_Lupin_Pooter.gif ",173
"22 Little brother, one of two, put in a hole (6)"," BREACH charade of BR(other) + EACH, for ‘one of two’, a doubtful definition, in my opinion, and ‘breach’ as ‘hole’ seems weak, too  ",133
23 Imperfect time chart I used in calculations of numbers (10), ARITHMETIC anagram of *TIME CHART I ,37
"24 Galleons, half visible, animosity (4)", GALL ‘hidden’ in GALL(eons) ,29
25 Go on past Los Angeles to reach water (6)," LAGOON charade of LA, a common abbreviation for ‘Los Angeles’ followed by GO ON ",81
26 Disaster: a tailless lamb lost in the Big Smoke (8)," CALAMITY insertion of A + LAM(b) (‘tailless’) in CITY, indicated by the nickname ‘the Big Smoke’ Down ",103
"1 You will surely get trouble, if mice get cooked with fish MISCHIEF anagram of MICE + FISH, indicated by ‘get cooked with’ 2 Particular romantic couple (4)", ITEM double definition  3 Irritable secret agent about to sleep SNAPPY insertion of NAP (= ‘sleep’) in SPY (‘secret agent’)  ,126
"4 Toned up Mr Miliband, as indicated? (7)"," DENOTED reversal of TONED + ED (Miliband), current leader of the Labour party  ",80
"5 Being naked, moved quickly round the drive (8)", STRIPPED charade of SPED (‘moved quickly’) around TRIP (= ‘(the) drive’)  ,75
6 Offend against one roughly (10), ANTAGONISE anagram of AGAINST ONE indicated by ‘roughly’  ,59
7 This footwear makes Lew sit up and rest (6)," WELLIE charade of <LEW reversed, indicated by ‘sit up’ + LIE = ‘rest’  ",72
13 Apes climbing up to get food for leave-taking (10)," SEPARATION reversal of <APES + RATION (=food)  16 A siren spilled gin – how distressing! ALARMING charade of ALARM (= ‘a siren’) + anagram of *GIN, indicated by ‘spilled’  ",173
18 Expand another case behind schedule (8), ESCALATE anagram of *CASE + LATE (= ‘behind schedule’)  ,57
19 Girl with strange title goes to church (7)," LETTICE anagram of *TITLE + a common abbreviation for the Church of England, to give a girl’s name which I only knew asLeticia  ",129
21 Sailor takes route overseas (6), ABROAD charade of A(ble) S(eaman) + ROAD(= ‘route’)  ,54
22 Old film star turns up in taxi with everything (6), BACALL charade of <CAB (= ‘taxi’) reversed + ALL (‘everything’) for the wife of Humphrey Bogart  ,98
